Al,Co,Fe,Ni,Si,Mn,Cr,Mo,Ti,Cu,Zr,V,Nb,Sn,Zn,Ta,Hf,W,HV
0.074585083,0.149270146,0.149270146,0.149270146,0,0,0.149270146,0,0,0.149270146,0,0.179064187,0,0,0,0,0,0,576
0.072507251,0.144914491,0.144914491,0.144914491,0,0,0.144914491,0,0,0.144914491,0,0.202920292,0,0,0,0,0,0,577
0.070414083,0.140828166,0.140828166,0.140828166,0,0,0.140828166,0,0,0.140828166,0,0.225445089,0,0,0,0,0,0,590
0.068493151,0.136986301,0.136986301,0.136986301,0,0,0.136986301,0,0,0.136986301,0,0.246575342,0,0,0,0,0,0,599
0.066706671,0.133313331,0.133313331,0.133313331,0,0,0.133313331,0,0,0.133313331,0,0.266726673,0,0,0,0,0,0,585
0.2,0.2,0.2,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,532
0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,677
0.166666667,0.166666667,0.166666667,0.166666667,0,0,0.166666667,0,0,0.166666667,0,0,0,0,0,0,0,0,468
0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0.166666667,0.166666667,0,0,0,0,0,0,0,0,624
0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0.166666667,0.166666667,0,0,0,0,0,0,0,474
0.166666667,0,0.166666667,0.166666667,0,0,0.166666667,0,0.166666667,0.166666667,0,0,0,0,0,0,0,0,468
0.166666667,0,0.166666667,0.166666667,0,0,0.166666667,0,0.166666667,0.166666667,0,0,0,0,0,0,0,0,531.5
0.166666667,0,0.166666667,0.166666667,0,0,0.166666667,0,0.166666667,0.166666667,0,0,0,0,0,0,0,0,514
0.166666667,0,0.166666667,0.166666667,0,0,0.166666667,0,0.166666667,0.166666667,0,0,0,0,0,0,0,0,592
0.166666667,0,0.166666667,0.166666667,0,0,0.166666667,0,0.166666667,0.166666667,0,0,0,0,0,0,0,0,551
0.166666667,0,0.166666667,0.166666667,0,0,0.166666667,0,0.166666667,0.166666667,0,0,0,0,0,0,0,0,515
0.2,0,0,0,0,0,0,0.1,0.2,0,0.2,0,0.2,0,0,0.1,0,0,580
0.2,0,0,0,0,0,0,0,0.3,0,0.1,0,0.3,0,0,0.1,0,0,400
0.08,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0,0.2,0.12,0,490
0.06,0,0,0,0,0,0,0,0.28,0,0.26,0,0.2,0,0,0.2,0,0,480
0.06,0,0,0,0,0,0,0,0.28,0,0.26,0.04,0.2,0,0,0.16,0,0,490
0.1,0,0,0,0,0,0,0,0.3,0,0.2,0.04,0.2,0,0,0.16,0,0,520
0,0,0,0,0,0,0,0,0.202,0,0.199,0,0.189,0,0,0.202,0.208,0,294
0.066,0,0,0,0,0,0,0,0.184,0,0.193,0,0.186,0,0,0.184,0.187,0,352
0.094,0,0,0,0,0,0,0,0.183,0,0.191,0,0.176,0,0,0.176,0.18,0,396
